datasheet_id|keyword|model|is_faction_keyword|
SG01|INFANTRY||false|
SG01|BATTLELINE||false|
SG01|SLATEGUARD||true|
SG02|INFANTRY||false|
SG02|BATTLELINE||false|
SG02|SLATEGUARD||true|
SG03|INFANTRY||false|
SG03|SLATEGUARD||true|
SG04|INFANTRY||false|
SG04|SLATEGUARD||true|
SG05|INFANTRY||false|
SG05|SLATEGUARD||true|
SG06|INFANTRY||false|
SG06|SLATEGUARD||true|
SG07|INFANTRY||false|
SG07|SLATEGUARD||true|
SG08|INFANTRY||false|
SG08|SLATEGUARD||true|
SG09|VEHICLE||false|
SG09|SLATEGUARD||true|
QC01|INFANTRY||false|
QC01|QUILL COVENANT||true|
QC02|INFANTRY||false|
QC02|CHARACTER||false|
QC02|QUILL COVENANT||true|
