datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|
SG01|1|Slate Sentinel|6"|5|3+|||3|6+|2|32mm||
SG02|1|Slate Phalanx|6"|4|4+|||2|6+|2|28mm||
SG03|1|Slate Warden|6"|5|3+|||2|6+|2|32mm||
SG04|1|Slate Revenant|6"|5|3+|||3|6+|2|32mm||
SG05|1|Slate Revenant|6"|5|3+|||3|6+|2|32mm||
SG06|1|Slate Lantern|6"|5|3+|||4|6+|2|32mm||
SG07|1|Slate Cipher|6"|5|3+|||2|6+|2|32mm||
SG08|1|Warden Adept|6"|5|3+|||3|6+|2|32mm||
SG09|1|Slate Aegis|8"|7|3+|5+||8|6+|3|60mm||
QC01|1|Slate Warden|6"|5|3+|||2|6+|2|32mm||
QC02|1|Quill Scrivener|6"|4|4+|||4|6+|1|32mm||
