datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|
SG01|1|1||Slate Sentinel blade||Melee|Melee|3|3+|5|-1|2|
SG02|1|1||Slate Phalanx spear||Melee|Melee|2|3+|4|0|1|
SG03|1|1||Slate Warden blade||Melee|Melee|3|3+|5|-1|2|
SG04|1|1||Slate Revenant blade||Melee|Melee|3|3+|5|-1|2|
SG05|1|1||Slate Revenant blade||Melee|Melee|3|3+|5|-1|2|
SG06|1|1||Slate Lantern beam||24"|Ranged|2|3+|6|-2|2|
SG07|1|1||Slate Cipher rod||Melee|Melee|2|4+|4|0|1|
SG08|1|1||Warden Adept blade||Melee|Melee|3|3+|5|-1|2|
SG09|1|1||Slate Aegis cannon||36"|Ranged|4|3+|9|-3|3|
QC01|1|1||Slate Warden blade||Melee|Melee|3|3+|5|-1|2|
QC02|1|1||Quill Scrivener stylus||Melee|Melee|2|3+|4|-1|1|
