datasheet_id|keyword|model|is_faction_keyword|
GF01|INFANTRY||false|
GF01|GLIMMERFEN COVENANT||true|
GF01|THORNLIGHT CHORUS||true|
GF02|INFANTRY||false|
GF02|GLIMMERFEN COVENANT||true|
GF02|BRACKLIGHT HOST||true|
GF03|MOUNTED||false|
GF03|GLIMMERFEN COVENANT||true|
GF03|THORNLIGHT CHORUS||true|
GF03|BRACKLIGHT HOST||true|
GF04|INFANTRY||false|
GF04|CHARACTER||false|
GF04|GLIMMERFEN COVENANT||true|
GF05|INFANTRY||false|
GF05|GLIMMERFEN COVENANT||true|
GF05|MIREFEN ENCLAVE||true|
GF06|INFANTRY|Thornlight Chorister Prime|false|
GF06|GLIMMERFEN COVENANT||true|
