datasheet_id|line|button|description|
GF01|1|Wargear Options|This model can be equipped with 1 glimmer lantern.|
GF02|1|Wargear Options|Any number of Fenmire Skirmisher models can be equipped with 1 marsh carbine.|
GF03|1|Wargear Options|For every 3 models in this unit, 1 model can be equipped with 1 tanglelance.|
GF04|1|Wargear Options|The Sedgeward Adept can be replaced with one of the following:< ul >< li >1 sedge halberd</li>< li >1 mire censer</li>< li >No change</li></ul>|
GF05|1|Wargear Options|Each Mirefen Tangler may take a snare net.|
GF06|1|Wargear Options|3 Thornlight Chorister models can be equipped with <ul><li>1 chime flail</li><li>2 resonance shards</li></ul>|
GF07|1|Wargear Options|Up to 4 Purgeflight Wardens can each have their glimmer rifle and fen halberd replaced with one of the following:<ul><li>1 ember lance and 1 close combat weapon</li><li>1 psilent coil and 1 close combat weapon</li></ul>|
GF07|2|Wargear Options|The Purgeflight Adept can be equipped with 1 ember lance and 2 void nets.|
GF07|3|Wargear Options|All models in this unit can each have their glimmer rifle replaced with 1 ember lance.|
GF07|4|Wargear Options|Any number of models can each have their fen halberd replaced with 1 tide hammer.|
GF07|5|Wargear Options|Any number of Purgeflight Wardens can each have their glimmer rifle replaced with 1 void net.|
GF07|6|Wargear Options|For every 4 models in this unit, up to 1 Purgeflight Warden can each have their glimmer rifle replaced with 1 psilent coil.|
GF07|7|Wargear Options|Purgeflight Wardens can each have their glimmer rifle replaced with 1 ember lance.|
GF07|8|Wargear Options|One Purgeflight Warden's glimmer rifle can be replaced with 1 ember lance.|
GF07|9|Wargear Options|Any number of Purgeflight Wardens can each be equipped with 1 void net.|
GF07|10|Wargear Options|This unit can replace its glimmer rifle with 1 ember lance.|
GF07|11|Wargear Options|2 Purgeflight Wardens can have its glimmer rifle replaced with 1 ember lance.|
GF07|12|Wargear Options|Purgeflight Adept is equipped with: glimmer rifle; fen halberd.|
GF07|13|Wargear Options|Purgeflight Wardens can each replace their glimmer rifle with 1 ember lance.|
GF07|14|Wargear Options|Any number of Purgeflight Wardens' glimmer rifles can each be replaced with one of the following:<ul><li>1 ember lance</li><li>1 psilent coil</li></ul>|
GF07|15|Wargear Options|If this unit has 6 or more models:<ul><li>1 ember lance</li><li>1 psilent coil</li></ul>|
