datasheet_id|line|description|
GF01|1|1 Glimmerfen Warden|
GF02|1|5-10 Fenmire Skirmisher|
GF02|2|1 Fenmire Marshbearer|
GF03|1|3‑6 Bracklight Outrider|
GF04|1|1 Sedgeward Adept|
GF04|2|4 Sedgeward Acolyte|
GF05|1|Every model in this unit is equipped with:|
GF06|1|1 Thornlight Chorister Prime|
GF06|2|3-9 Thornlight Chorister|
GF07|1|1 Purgeflight Adept|
GF07|2|4-8 Purgeflight Warden|
GF08|1|1 Mirebound Cantor|
GF08|2|4-9 Mirebound Chorister|
GF09|1|1 Fenwatch Sentinel|
GF10|1|1 Gloamtide Herald|
GF10|2|5-10 Gloamtide Wretch|
GF11|1|Every model in this unit is arrayed for war.|
GF12|1|1 Marshlight Warden|
GF12|2|4-6 Marshlight Sentry*|
GF13|1|9 Fenward Cohort|
GF13|2|3 Fenward Sergeant|
GF13|3|6 Fenward Trooper|
GF14|1|5 Fenward Vanguard Squad|
GF14|2|5 Fenward Outrider|
GF15|1|1 Fenward Relict Warden|
GF15|2|8 Fenward Relict Line|
GF15|3|7 Fenward Relict Skirmisher|
