datasheet_id|line|ability_id|model|name|description|type|parameter|
AV01|1|||Ember Shield|Invented placeholder prose.|Datasheet||
AV01|2|||Deep Strike|Invented placeholder prose.|Core||
AV02|1|||Slag Wake|Invented placeholder prose.|Special (правая колонка)||
AV03|1|||Kindling Surge|Invented placeholder prose.|Без заголовка||
AV03|2|||Leader|Invented placeholder prose.|Core||
AV04|1|||Leader|Invented placeholder prose.|Core||
AV05|1|||Ember Shield|Invented placeholder prose.|Datasheet||
AV06|1|||Deep Strike|Invented placeholder prose.|Core||
AV07|1|||Deep Strike|Invented placeholder prose.|Core||
AV08|1|||Ember Shield|Invented placeholder prose.|Datasheet||
EC01|1|||Kindling Surge|Invented placeholder prose.|Faction||
